rep	segment	sample	fov	infected_cells	spots	median_intensity	mean_radius	spots_per_infected_cell	plp
rep1	NA	3PLP	fov_1	123	5641	0.003524834	3	45.86178861788618	3
rep1	NA	3PLP	fov_2	93	4856	0.0032654307	3	52.215053763440864	3
rep1	NA	3PLP	fov_3	66	4540	0.004028382	3	68.78787878787878	3
rep1	NA	3PLP	fov_4	66	4981	0.005203326	3	75.46969696969697	3
rep1	NA	3PLP	fov_5	89	4270	0.004898146	3	47.97752808988764	3
rep1	NA	3PLP	fov_6	131	6881	0.004180972	3	52.52671755725191	3
rep1	NA	3PLP	fov_7	97	4756	0.0036926833	3	49.03092783505155	3
rep1	NA	3PLP	fov_8	111	4670	0.0037003128	3	42.072072072072075	3
rep1	NA	3PLP	fov_9	110	4262	0.003913939	3	38.74545454545454	3
rep1	NA	4PLP	fov_0	96	4761	0.0033569848	3	49.59375	4
rep1	NA	4PLP	fov_1	98	3101	0.003555352	3	31.642857142857142	4
rep1	NA	4PLP	fov_2	89	4153	0.003418021	3	46.662921348314605	4
rep1	NA	4PLP	fov_3	80	5405	0.0039368276	3	67.5625	4
rep1	NA	4PLP	fov_4	81	4246	0.0036469062	3	52.41975308641975	4
rep1	NA	4PLP	fov_5	31	586	0.006675821950000001	3	18.903225806451612	4
rep1	NA	4PLP	fov_6	73	4128	0.0036240177	3	56.54794520547945	4
rep1	NA	4PLP	fov_7	103	5972	0.002868696	3	57.980582524271846	4
rep1	NA	4PLP	fov_8	113	4527	0.0029602502	3	40.06194690265487	4
rep1	NA	4PLP	fov_9	99	4095	0.0032043946	3	41.36363636363637	4
rep1	NA	5PLP	fov_0	147	6428	0.0033722438	3	43.72789115646258	5
rep1	NA	5PLP	fov_1	128	5381	0.0037384604	3	42.0390625	5
rep1	NA	5PLP	fov_2	113	5300	0.0036011292	3	46.902654867256636	5
rep1	NA	5PLP	fov_3	127	4531	0.0038452735	3	35.67716535433071	5
rep1	NA	5PLP	fov_4	120	4468	0.0044861524	3	37.233333333333334	5
rep1	NA	5PLP	fov_5	78	3713	0.0039368276	3	47.6025641025641	5
rep1	NA	5PLP	fov_6	95	3244	0.003807126	3	34.14736842105263	5
rep1	NA	5PLP	fov_7	87	4636	0.0031891356	3	53.28735632183908	5
rep1	NA	5PLP	fov_8	110	4572	0.003540093	3	41.56363636363636	5
rep1	NA	5PLP	fov_9	98	6540	0.0038757916	3	66.73469387755102	5
rep1	NA	6PLP	fov_0	68	5526	0.0032654307	3	81.26470588235294	6
rep1	NA	6PLP	fov_1	41	3833	0.0033112078	3	93.48780487804878	6
rep1	NA	6PLP	fov_2	65	4091	0.002716106	3	62.93846153846154	6
rep1	NA	6PLP	fov_3	66	4084	0.0030670634	3	61.878787878787875	6
rep1	NA	6PLP	fov_4	99	4998	0.0043183034	3	50.484848484848484	6
rep1	NA	6PLP	fov_5	98	4653	0.0050507365	3	47.47959183673469	6
rep1	NA	6PLP	fov_6	63	2736	0.0030975814	3	43.42857142857143	6
rep1	NA	6PLP	fov_7	81	4449	0.0030060273	3	54.925925925925924	6
rep1	NA	6PLP	fov_8	67	4895	0.0032043946	3	73.05970149253731	6
rep1	NA	6PLP	fov_9	76	4857	0.0031891356	3	63.9078947368421	6
rep1	NA	8PLP	fov_0	75	4893	0.0030670634	3	65.24	8
rep1	NA	8PLP	fov_1	85	5181	0.003555352	3	60.95294117647059	8
rep1	NA	8PLP	fov_2	77	5032	0.0036163882	3	65.35064935064935	8
rep1	NA	8PLP	fov_3	91	4891	0.003509575	3	53.747252747252745	8
rep1	NA	8PLP	fov_4	73	4977	0.0033112078	3	68.17808219178082	8
rep1	NA	8PLP	fov_5	73	3305	0.0030670634	3	45.273972602739725	8
rep1	NA	8PLP	fov_6	88	4861	0.0031586175	3	55.23863636363637	8
rep1	NA	8PLP	fov_7	78	4595	0.0032196536	3	58.91025641025641	8
rep1	NA	8PLP	fov_8	92	5642	0.0034027619	3	61.32608695652174	8
rep1	NA	8PLP	fov_9	94	3694	0.0039673457	3	39.297872340425535	8
rep2	NA	10PLP	fov_0	110	4323	0.0045929654	3	39.3	10
rep2	NA	10PLP	fov_1	66	2992	0.0041046767	3	45.333333333333336	10
rep2	NA	10PLP	fov_2	77	5324	0.0030975814	3	69.14285714285714	10
rep2	NA	10PLP	fov_3	93	6485	0.003952087	3	69.73118279569893	10
rep2	NA	10PLP	fov_4	72	4374	0.004135195	3	60.75	10
rep2	NA	10PLP	fov_5	81	4712	0.0039826045	3	58.17283950617284	10
rep2	NA	10PLP	fov_6	83	4893	0.003479057	3	58.95180722891566	10
rep2	NA	10PLP	fov_7	83	4276	0.0031891356	3	51.51807228915663	10
rep2	NA	10PLP	fov_8	44	4099	0.0033417258	3	93.1590909090909	10
rep2	NA	10PLP	fov_9	66	5014	0.003479057	3	75.96969696969697	10
rep2	NA	1PLP	fov_0	22	178	0.0032654307	3	8.090909090909092	1
rep2	NA	1PLP	fov_1	24	157	0.0028992142	3	6.541666666666667	1
rep2	NA	1PLP	fov_2	21	171	0.0022430762	3	8.142857142857142	1
rep2	NA	1PLP	fov_3	18	145	0.002166781	3	8.055555555555555	1
rep2	NA	1PLP	fov_4	40	275	0.0036011292	3	6.875	1
