rep	moi	hpi	fov	molecule	nucleus	spots	spots_per_infected_cell	mean_n
0	1.0 MOI	0	0	vRNA	cytoplasm	57	1.2954545454545454	1.2257022723972884
0	1.0 MOI	0	0	vRNA	nucleus	29	0.6590909090909091	1.2257022723972884
0	1.0 MOI	0	1	mRNA	cytoplasm	75	2.142857142857143	1.7887053848309689
0	1.0 MOI	0	1	mRNA	nucleus	16	0.45714285714285713	1.7887053848309689
0	1.0 MOI	0	1	vRNA	cytoplasm	28	0.8	1.2257022723972884
0	1.0 MOI	0	1	vRNA	nucleus	16	0.45714285714285713	1.2257022723972884
0	1.0 MOI	0	2	mRNA	cytoplasm	84	1.6470588235294117	1.7887053848309689
0	1.0 MOI	0	2	mRNA	nucleus	26	0.5098039215686274	1.7887053848309689
0	1.0 MOI	0	2	vRNA	cytoplasm	29	0.5686274509803921	1.2257022723972884
0	1.0 MOI	0	2	vRNA	nucleus	21	0.4117647058823529	1.2257022723972884
0	1.0 MOI	0	3	mRNA	cytoplasm	105	1.5671641791044777	1.7887053848309689
0	1.0 MOI	0	3	mRNA	nucleus	45	0.6716417910447761	1.7887053848309689
0	1.0 MOI	0	3	vRNA	cytoplasm	49	0.7313432835820896	1.2257022723972884
0	1.0 MOI	0	3	vRNA	nucleus	39	0.582089552238806	1.2257022723972884
0	1.0 MOI	0	4	mRNA	cytoplasm	85	1.8888888888888888	1.7887053848309689
0	1.0 MOI	0	4	mRNA	nucleus	17	0.37777777777777777	1.7887053848309689
0	1.0 MOI	0	4	vRNA	cytoplasm	35	0.7777777777777778	1.2257022723972884
0	1.0 MOI	0	4	vRNA	nucleus	23	0.5111111111111111	1.2257022723972884
0	1.0 MOI	0	5	mRNA	cytoplasm	94	1.9183673469387754	1.7887053848309689
0	1.0 MOI	0	5	mRNA	nucleus	17	0.3469387755102041	1.7887053848309689
0	1.0 MOI	0	5	vRNA	cytoplasm	48	0.9795918367346939	1.2257022723972884
0	1.0 MOI	0	5	vRNA	nucleus	33	0.673469387755102	1.2257022723972884
0	1.0 MOI	0	6	mRNA	cytoplasm	92	1.4153846153846152	1.7887053848309689
0	1.0 MOI	0	6	mRNA	nucleus	37	0.5692307692307692	1.7887053848309689
0	1.0 MOI	0	6	vRNA	cytoplasm	29	0.4461538461538462	1.2257022723972884
0	1.0 MOI	0	6	vRNA	nucleus	36	0.5538461538461539	1.2257022723972884
0	1.0 MOI	0	7	mRNA	cytoplasm	91	1.75	1.7887053848309689
0	1.0 MOI	0	7	mRNA	nucleus	42	0.8076923076923077	1.7887053848309689
0	1.0 MOI	0	7	vRNA	cytoplasm	40	0.7692307692307693	1.2257022723972884
0	1.0 MOI	0	7	vRNA	nucleus	18	0.34615384615384615	1.2257022723972884
0	1.0 MOI	1	0	mRNA	cytoplasm	211	2.8904109589041096	8.28336402361983
0	1.0 MOI	1	0	mRNA	nucleus	72	0.9863013698630136	8.28336402361983
0	1.0 MOI	1	0	vRNA	cytoplasm	71	0.9726027397260273	4.270755682612458
0	1.0 MOI	1	0	vRNA	nucleus	42	0.5753424657534246	4.270755682612458
0	1.0 MOI	1	1	mRNA	cytoplasm	208	3.0144927536231885	8.28336402361983
0	1.0 MOI	1	1	mRNA	nucleus	98	1.4202898550724636	8.28336402361983
0	1.0 MOI	1	1	vRNA	cytoplasm	64	0.927536231884058	4.270755682612458
0	1.0 MOI	1	1	vRNA	nucleus	45	0.6521739130434783	4.270755682612458
0	1.0 MOI	1	2	mRNA	cytoplasm	259	3.5972222222222223	8.28336402361983
0	1.0 MOI	1	2	mRNA	nucleus	71	0.986111111111111	8.28336402361983
0	1.0 MOI	1	2	vRNA	cytoplasm	76	1.0555555555555556	4.270755682612458
0	1.0 MOI	1	2	vRNA	nucleus	39	0.5416666666666666	4.270755682612458
0	1.0 MOI	1	3	mRNA	cytoplasm	296	4	8.28336402361983
0	1.0 MOI	1	3	mRNA	nucleus	84	1.135135135135135	8.28336402361983
0	1.0 MOI	1	3	vRNA	cytoplasm	92	1.2432432432432434	4.270755682612458
0	1.0 MOI	1	3	vRNA	nucleus	52	0.7027027027027027	4.270755682612458
0	1.0 MOI	1	4	mRNA	cytoplasm	242	3.408450704225352	8.28336402361983
0	1.0 MOI	1	4	mRNA	nucleus	88	1.2394366197183098	8.28336402361983
0	1.0 MOI	1	4	vRNA	cytoplasm	89	1.2535211267605635	4.270755682612458
0	1.0 MOI	1	4	vRNA	nucleus	41	0.5774647887323944	4.270755682612458
0	1.0 MOI	1	5	mRNA	cytoplasm	272	3.6266666666666665	8.28336402361983
0	1.0 MOI	1	5	mRNA	nucleus	93	1.24	8.28336402361983
0	1.0 MOI	1	5	vRNA	cytoplasm	74	0.9866666666666667	4.270755682612458
0	1.0 MOI	1	5	vRNA	nucleus	43	0.5733333333333334	4.270755682612458
0	1.0 MOI	1	6	mRNA	cytoplasm	287	3.2988505747126435	8.28336402361983
0	1.0 MOI	1	6	mRNA	nucleus	87	1	8.28336402361983
0	1.0 MOI	1	6	vRNA	cytoplasm	102	1.1724137931034484	4.270755682612458
0	1.0 MOI	1	6	vRNA	nucleus	42	0.48275862068965514	4.270755682612458
0	1.0 MOI	1	7	mRNA	cytoplasm	288	3.6455696202531644	8.28336402361983
