total	type	round	fraction	fov
1668	additional	3	0.05815347721822542	9
1668	missing	3	5.995203836930455e-4	9
1668	additionalAndMissing	3	5.995203836930455e-4	9
1668	correct	4	0.9190647482014388	9
1668	additional	4	0.07913669064748201	9
1668	missing	4	0	9
1668	additionalAndMissing	4	0.0017985611510791368	9
1668	correct	5	0.8932853717026379	9
1668	additional	5	0.10491606714628297	9
1668	missing	5	0	9
1668	additionalAndMissing	5	0.0017985611510791368	9
1668	correct	6	0.8770983213429256	9
1668	additional	6	0.11330935251798561	9
1668	missing	6	0.0077937649880095924	9
1668	additionalAndMissing	6	0.0017985611510791368	9
1677	correct	1	0.9809183064997018	10
1677	additional	1	0.01908169350029815	10
1677	missing	1	0	10
1677	additionalAndMissing	1	0	10
1677	correct	2	0.975551580202743	10
1677	additional	2	0.02385211687537269	10
1677	missing	2	5.963029218843172e-4	10
1677	additionalAndMissing	2	0	10
1677	correct	3	0.9707811568276684	10
1677	additional	3	0.028622540250447227	10
1677	missing	3	5.963029218843172e-4	10
1677	additionalAndMissing	3	0	10
1677	correct	4	0.9403697078115683	10
1677	additional	4	0.059033989266547404	10
1677	missing	4	5.963029218843172e-4	10
1677	additionalAndMissing	4	0	10
1677	correct	5	0.9189028026237328	10
1677	additional	5	0.08050089445438283	10
1677	missing	5	5.963029218843172e-4	10
1677	additionalAndMissing	5	0	10
1677	correct	6	0.9123434704830053	10
1677	additional	6	0.08586762075134168	10
1677	missing	6	0.0017889087656529517	10
1677	additionalAndMissing	6	0	10
1923	correct	1	0.9885595423816953	11
1923	additional	1	0.010400416016640665	11
1923	missing	1	0.0010400416016640667	11
1923	additionalAndMissing	1	0	11
1923	correct	2	0.983359334373375	11
1923	additional	2	0.015080603224128965	11
1923	missing	2	0.0015600624024961	11
1923	additionalAndMissing	2	0	11
1923	correct	3	0.9765990639625585	11
1923	additional	3	0.021320852834113363	11
1923	missing	3	0.0020800832033281333	11
1923	additionalAndMissing	3	0	11
1923	correct	4	0.9734789391575663	11
1923	additional	4	0.024440977639105563	11
1923	missing	4	0.0015600624024961	11
1923	additionalAndMissing	4	5.200208008320333e-4	11
1923	correct	5	0.9245969838793552	11
1923	additional	5	0.07332293291731669	11
1923	missing	5	0.0015600624024961	11
1923	additionalAndMissing	5	5.200208008320333e-4	11
1923	correct	6	0.906396255850234	11
1923	additional	6	0.09152366094643785	11
1923	missing	6	0.0015600624024961	11
1923	additionalAndMissing	6	5.200208008320333e-4	11
1654	correct	1	0.9570737605804112	12
1654	additional	1	0.04232164449818621	12
1654	missing	1	6.045949214026602e-4	12
1654	additionalAndMissing	1	0	12
1654	correct	2	0.9534461910519951	12
1654	additional	2	0.045949214026602174	12
1654	missing	2	6.045949214026602e-4	12
1654	additionalAndMissing	2	0	12
1654	correct	3	0.9480048367593712	12
1654	additional	3	0.05078597339782346	12
1654	missing	3	6.045949214026602e-4	12
1654	additionalAndMissing	3	6.045949214026602e-4	12
1654	correct	4	0.9449818621523579	12
1654	additional	4	0.05380894800483676	12
1654	missing	4	6.045949214026602e-4	12
1654	additionalAndMissing	4	6.045949214026602e-4	12
1654	correct	5	0.9347037484885127	12
1654	additional	5	0.06408706166868199	12
1654	missing	5	6.045949214026602e-4	12
1654	additionalAndMissing	5	6.045949214026602e-4	12
1654	correct	6	0.8821039903264812	12
1654	additional	6	0.11668681983071343	12
1654	missing	6	0	12
1654	additionalAndMissing	6	0.0012091898428053204	12
990	correct	1	0.896969696969697	13
990	additional	1	0.10202020202020202	13
990	missing	1	0.00101010101010101	13
990	additionalAndMissing	1	0	13
990	correct	2	0.8919191919191919	13
990	additional	2	0.10707070707070707	13
990	missing	2	0	13
990	additionalAndMissing	2	0.00101010101010101	13
990	correct	3	0.8010101010101011	13
990	additional	3	0.19797979797979798	13
990	missing	3	0	13
990	additionalAndMissing	3	0.00101010101010101	13
990	correct	4	0.796969696969697	13
990	additional	4	0.20202020202020202	13
990	missing	4	0	13
990	additionalAndMissing	4	0.00101010101010101	13
990	correct	5	0.7909090909090909	13
990	additional	5	0.2080808080808081	13
990	missing	5	0	13
990	additionalAndMissing	5	0.00101010101010101	13
990	correct	6	0.7353535353535353	13
990	additional	6	0.2636363636363636	13
990	missing	6	0	13
990	additionalAndMissing	6	0.00101010101010101	13
2399	correct	1	0.9208003334722801	14
2399	additional	1	0.07878282617757398	14
2399	missing	1	0	14
2399	additionalAndMissing	1	4.1684035014589413e-4	14
2399	correct	2	0.9137140475197999	14
2399	additional	2	0.0854522717799083	14
2399	missing	2	4.1684035014589413e-4	14
2399	additionalAndMissing	2	4.1684035014589413e-4	14
2399	correct	3	0.9103793247186328	14
2399	additional	3	0.08878699458107545	14
2399	missing	3	4.1684035014589413e-4	14
2399	additionalAndMissing	3	4.1684035014589413e-4	14
2399	correct	4	0.8870362651104627	14
2399	additional	4	0.11213005418924551	14
2399	missing	4	4.1684035014589413e-4	14
2399	additionalAndMissing	4	4.1684035014589413e-4	14
2399	correct	5	0.866194247603168	14
2399	additional	5	0.1329720716965402	14
2399	missing	5	4.1684035014589413e-4	14
2399	additionalAndMissing	5	4.1684035014589413e-4	14
2399	correct	6	0.8557732388495206	14
2399	additional	6	0.1433930804501876	14
2399	missing	6	4.1684035014589413e-4	14
2399	additionalAndMissing	6	4.1684035014589413e-4	14
2207	correct	1	0.9528772088808337	15
2207	additional	1	0.04666968735840508	15
2207	missing	1	4.5310376076121433e-4	15
2207	additionalAndMissing	1	0	15
2207	correct	2	0.945174444947893	15
2207	additional	2	0.053919347530584506	15
2207	missing	2	9.062075215224287e-4	15
2207	additionalAndMissing	2	0	15
2207	correct	3	0.9438151336656094	15
2207	additional	3	0.05527865881286815	15
2207	missing	3	9.062075215224287e-4	15
2207	additionalAndMissing	3	0	15
2207	correct	4	0.9342999546896239	15
2207	additional	4	0.06479383778885364	15
2207	missing	4	9.062075215224287e-4	15
2207	additionalAndMissing	4	0	15
2207	correct	5	0.9039420027186226	15
2207	additional	5	0.09515178975985501	15
2207	missing	5	9.062075215224287e-4	15
2207	additionalAndMissing	5	0	15
2207	correct	6	0.8989578613502492	15
2207	additional	6	0.09968282736746716	15
2207	missing	6	0.001359311282283643	15
2207	additionalAndMissing	6	0	15
