rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell	sample_type	plp
rep2	NA	Neg_6PLP	fov_3	2	2	0.0052033266	3	1	negative	6
rep2	NA	Neg_6PLP	fov_4	2	2	0.005287251	3	1	negative	6
rep2	NA	Neg_6PLP	fov_5	1	1	0.008789197	3	1	negative	6
rep2	NA	Neg_7PLP	fov_0	4	4	0.00184634165	3	1	negative	7
rep2	NA	Neg_7PLP	fov_1	2	3	0.0017547875	3	1.5	negative	7
rep2	NA	Neg_7PLP	fov_2	6	6	0.0018997482	3	1	negative	7
rep2	NA	Neg_7PLP	fov_3	2	2	0.004448005	3	1	negative	7
rep2	NA	Neg_7PLP	fov_4	7	7	0.0016937514	3	1	negative	7
rep2	NA	Neg_7PLP	fov_5	9	9	0.002090486	3	1	negative	7
rep2	NA	Neg_8PLP	fov_0	2	2	0.006164644800000001	4	1	negative	8
rep2	NA	Neg_8PLP	fov_1	4	4	0.00230411225	3	1	negative	8
rep2	NA	Neg_8PLP	fov_2	4	4	0.0034180210000000003	3	1	negative	8
rep2	NA	Neg_8PLP	fov_3	2	2	0.00478370335	3	1	negative	8
rep2	NA	Neg_8PLP	fov_4	3	3	0.002716106	3	1	negative	8
rep2	NA	Neg_8PLP	fov_5	4	4	0.0055466544999999996	3	1	negative	8
rep2	NA	Neg_9PLP	fov_0	1	1	0.00654612	3	1	negative	9
rep2	NA	Neg_9PLP	fov_1	6	16	0.0012664987999999999	3	2.6666666666666665	negative	9
rep2	NA	Neg_9PLP	fov_2	1	1	0.0061188675	3	1	negative	9
rep2	NA	Neg_9PLP	fov_3	2	2	0.0071412225	3	1	negative	9
rep2	NA	Neg_9PLP	fov_4	28	50	0.00122072175	3	1.7857142857142858	negative	9
rep2	NA	Neg_9PLP	fov_5	1	1	0.006363012	3	1	negative	9
