rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell	sample_type	plp
rep2	HA	Neg_5PLP	fov_4	1	1	0.007873655	3	1	negative	5
rep2	HA	Neg_5PLP	fov_5	1	1	0.008239872	3	1	negative	5
rep2	HA	Neg_6PLP	fov_0	3	3	0.004119936	3	1	negative	6
rep2	HA	Neg_6PLP	fov_1	2	2	0.0055161365	4	1	negative	6
rep2	HA	Neg_6PLP	fov_2	8	8	0.00205996795	3	1	negative	6
rep2	HA	Neg_6PLP	fov_3	3	3	0.003555352	3	1	negative	6
rep2	HA	Neg_6PLP	fov_4	2	2	0.00422674905	3	1	negative	6
rep2	HA	Neg_6PLP	fov_5	4	5	0.002151522	3	1.25	negative	6
rep2	HA	Neg_7PLP	fov_0	1	1	0.009231708	3	1	negative	7
rep2	HA	Neg_7PLP	fov_1	2	2	0.006027314	3	1	negative	7
rep2	HA	Neg_7PLP	fov_2	6	6	0.0036240175999999995	3	1	negative	7
rep2	HA	Neg_7PLP	fov_3	5	6	0.00215152205	3	1.2	negative	7
rep2	HA	Neg_7PLP	fov_4	1	1	0.008987564	3	1	negative	7
rep2	HA	Neg_7PLP	fov_5	2	2	0.00525673305	3	1	negative	7
rep2	HA	Neg_8PLP	fov_0	2	2	0.00420386055	3	1	negative	8
rep2	HA	Neg_8PLP	fov_1	2	2	0.00423437875	4	1	negative	8
rep2	HA	Neg_8PLP	fov_2	2	2	0.00470740825	5	1	negative	8
rep2	HA	Neg_8PLP	fov_3	3	3	0.0023193713	3	1	negative	8
rep2	HA	Neg_8PLP	fov_4	2	2	0.0042496376	4	1	negative	8
rep2	HA	Neg_8PLP	fov_5	1	1	0.0070038913	3	1	negative	8
rep2	HA	Neg_9PLP	fov_0	1	1	0.0060425727	3	1	negative	9
rep2	HA	Neg_9PLP	fov_1	7	11	0.0015259022	3	1.5714285714285714	negative	9
rep2	HA	Neg_9PLP	fov_2	2	2	0.00443274575	3	1	negative	9
rep2	HA	Neg_9PLP	fov_3	1	1	0.006485084	3	1	negative	9
rep2	HA	Neg_9PLP	fov_4	1	1	0.0065918975	3	1	negative	9
rep2	HA	Neg_9PLP	fov_5	5	9	0.0015564202	3	1.8	negative	9
